"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","V7_r2","V8_r2","status"
"data1",139.7862,36,116,0,0.024,0.0022,0.9987,0.9996,55419.7857,54663.8145,-27215.9073,0.9987,0.9921,0.9828,0.9481,0.9831,0.9925,0.9946,0.0182,"converged normally"
"data10",157.2198,36,116,0,0.026,0.0064,0.9985,0.9995,56810.492,56054.5207,-27911.2604,0.999,0.9926,0.9845,0.9509,0.9856,0.9934,0.9953,0.0217,"converged normally"
"data11",168.9724,36,116,0,0.0272,0.0037,0.9984,0.9995,57918.1578,57162.1866,-28465.0933,0.9989,0.9938,0.9872,0.9574,0.9857,0.9937,0.9952,0.0276,"converged normally"
"data12",178.354,36,116,0,0.0281,0.0034,0.9982,0.9995,58794.3071,58038.3359,-28903.1679,0.9989,0.9938,0.9857,0.9533,0.9863,0.9938,0.9951,0.0269,"converged normally"
"data13",186.607,36,116,0,0.0289,0.0059,0.9981,0.9994,58145.0775,57389.1063,-28578.5531,0.9988,0.9936,0.9875,0.9604,0.9845,0.9931,0.995,0.0329,"converged normally"
"data14",172.1981,36,116,0,0.0275,0.0019,0.9983,0.9995,57786.1372,57030.1659,-28399.083,0.9987,0.994,0.9873,0.961,0.9837,0.9925,0.9945,0.0173,"converged normally"
"data15",212.6176,36,116,0,0.0313,0.002,0.9978,0.9993,57443.6853,56687.7141,-28227.8571,0.9989,0.9929,0.9847,0.953,0.9866,0.9938,0.9952,0.0259,"converged normally"
"data16",215.6679,36,116,0,0.0316,0.006,0.9977,0.9993,54604.5511,53848.5799,-26808.2899,0.9986,0.9916,0.9815,0.9444,0.9831,0.9921,0.9942,0.0245,"converged normally"
"data17",180.7708,36,116,0,0.0284,0.0052,0.9982,0.9995,56590.2427,55834.2715,-27801.1357,0.9989,0.9919,0.9822,0.9461,0.9864,0.9933,0.9948,0.0262,"converged normally"
"data18",149.8233,36,116,0,0.0251,0.0034,0.9986,0.9996,56801.979,56046.0078,-27907.0039,0.9989,0.9936,0.9861,0.9511,0.985,0.9929,0.9947,0.031,"converged normally"
"data19",144.4241,36,116,0,0.0245,0.0028,0.9987,0.9996,57072.0416,56316.0704,-28042.0352,0.9988,0.9943,0.9874,0.9585,0.9851,0.9931,0.9945,0.0217,"converged normally"
"data2",197.3642,36,116,0,0.0299,0.004,0.998,0.9994,56908.2325,56152.2613,-27960.1306,0.9988,0.9922,0.9828,0.942,0.9846,0.993,0.9949,0.0175,"converged normally"
"data20",236.9182,36,116,0,0.0334,0.0014,0.9975,0.9993,56810.9132,56054.942,-27911.471,0.9989,0.993,0.9856,0.952,0.986,0.9937,0.9953,0.0296,"converged normally"
"data21",179.297,36,116,0,0.0282,0.0073,0.9982,0.9995,56460.5899,55704.6187,-27736.3093,0.9987,0.9935,0.986,0.9531,0.9855,0.9928,0.9947,0.0256,"converged normally"
"data22",170.7923,36,116,0,0.0274,0.0018,0.9982,0.9995,55252.9178,54496.9466,-27132.4733,0.9986,0.9915,0.9823,0.9397,0.9822,0.9918,0.9939,0.0192,"converged normally"
"data23",145.6101,36,116,0,0.0247,0.0074,0.9986,0.9996,56906.4796,56150.5084,-27959.2542,0.999,0.9909,0.9802,0.9377,0.987,0.9938,0.9954,0.0245,"converged normally"
"data24",184.4744,36,116,0,0.0287,0.0013,0.9982,0.9994,58818.2854,58062.3142,-28915.1571,0.9989,0.9934,0.9856,0.9547,0.9862,0.9935,0.9953,0.0302,"converged normally"
"data25",177.7307,36,116,0,0.0281,0.0024,0.9982,0.9995,57100.3169,56344.3457,-28056.1729,0.999,0.9931,0.9837,0.9488,0.9857,0.9935,0.9951,0.0252,"converged normally"
"data26",151.8708,36,116,0,0.0254,0.0016,0.9985,0.9996,55495.0194,54739.0481,-27253.5241,0.9987,0.9929,0.9847,0.9519,0.9824,0.9922,0.9942,0.0231,"converged normally"
"data27",187.0711,36,116,0,0.029,0.0037,0.998,0.9994,55303.4067,54547.4355,-27157.7177,0.9987,0.9914,0.9804,0.9354,0.9844,0.9925,0.9945,0.0259,"converged normally"
"data28",194.7987,36,116,0,0.0297,0.0036,0.998,0.9994,57619.8633,56863.8921,-28315.946,0.9988,0.9932,0.9854,0.957,0.9849,0.993,0.995,0.0149,"converged normally"
"data29",198.6166,36,116,0,0.0301,0.0016,0.9979,0.9994,55554.8023,54798.8311,-27283.4155,0.9987,0.9915,0.9823,0.9439,0.9822,0.9922,0.994,0.0238,"converged normally"
"data3",181.7282,36,116,0,0.0285,0.0085,0.9982,0.9995,57564.6133,56808.6421,-28288.321,0.9988,0.9944,0.987,0.958,0.9861,0.9932,0.9948,0.0277,"converged normally"
"data30",179.4098,36,116,0,0.0282,0.0082,0.9982,0.9995,56916.4015,56160.4303,-27964.2152,0.9987,0.9942,0.9871,0.9587,0.9849,0.9932,0.9947,0.0301,"converged normally"
"data31",182.6406,36,116,0,0.0285,0.0043,0.9982,0.9995,57381.4452,56625.474,-28196.737,0.9988,0.9937,0.9862,0.9574,0.985,0.993,0.9947,0.0207,"converged normally"
"data32",155.9232,36,116,0,0.0258,0.0034,0.9984,0.9995,54343.6933,53587.7221,-26677.861,0.9986,0.9913,0.9811,0.9422,0.9829,0.9918,0.994,0.0225,"converged normally"
"data33",157.3672,36,116,0,0.026,0.0037,0.9985,0.9995,57061.8129,56305.8417,-28036.9209,0.9989,0.9935,0.9857,0.9538,0.9853,0.9934,0.9949,0.02,"converged normally"
"data34",198.7142,36,116,0,0.0301,0.0019,0.9979,0.9994,58098.8371,57342.8659,-28555.4329,0.9988,0.9928,0.9852,0.9541,0.9849,0.9927,0.9943,0.0329,"converged normally"
"data35",173.8301,36,116,0,0.0277,0.0044,0.9983,0.9995,57324.2572,56568.286,-28168.143,0.9989,0.9933,0.9848,0.9522,0.9859,0.9932,0.9951,0.0231,"converged normally"
"data36",157.7975,36,116,0,0.026,0.0051,0.9985,0.9995,56366.5332,55610.562,-27689.281,0.9987,0.9938,0.9862,0.9584,0.9844,0.9925,0.9942,0.0323,"converged normally"
"data37",163.1589,36,116,0,0.0266,0.0045,0.9984,0.9995,54519.6392,53763.668,-26765.834,0.9987,0.993,0.9849,0.9522,0.9833,0.9922,0.994,0.0296,"converged normally"
"data38",164.2121,36,116,0,0.0267,0.0012,0.9984,0.9995,56109.2093,55353.2381,-27560.6191,0.9989,0.9925,0.9831,0.9461,0.9857,0.9933,0.995,0.0287,"converged normally"
"data39",190.0306,36,116,0,0.0293,0.0027,0.9981,0.9994,57137.66,56381.6888,-28074.8444,0.9986,0.9937,0.9863,0.9583,0.9842,0.9927,0.9943,0.0251,"converged normally"
"data4",156.9879,36,116,0,0.0259,0.0027,0.9985,0.9995,56918.7754,56162.8041,-27965.4021,0.9988,0.9935,0.986,0.9559,0.9855,0.993,0.9947,0.0243,"converged normally"
"data40",166.305,36,116,0,0.0269,0.0023,0.9983,0.9995,56090.694,55334.7228,-27551.3614,0.9987,0.9924,0.9841,0.9495,0.9845,0.9925,0.9945,0.0258,"converged normally"
"data41",195.1863,36,116,0,0.0297,0.0023,0.998,0.9994,57156.2506,56400.2794,-28084.1397,0.9987,0.9925,0.9843,0.9507,0.9838,0.9923,0.9942,0.0214,"converged normally"
"data42",159.2971,36,116,0,0.0262,0.0044,0.9985,0.9995,56506.2251,55750.2539,-27759.127,0.9988,0.9933,0.9853,0.9552,0.985,0.9929,0.9946,0.0242,"converged normally"
"data43",207.0288,36,116,0,0.0308,0.0048,0.9978,0.9994,56600.2278,55844.2566,-27806.1283,0.9987,0.9927,0.9848,0.9519,0.9855,0.9926,0.9947,0.0328,"converged normally"
"data44",164.1589,36,116,0,0.0267,0.005,0.9984,0.9995,56283.0888,55527.1175,-27647.5588,0.9988,0.9925,0.9831,0.948,0.9846,0.993,0.995,0.0296,"converged normally"
"data45",171.7341,36,116,0,0.0275,0.0041,0.9983,0.9995,58426.4797,57670.5085,-28719.2542,0.9989,0.9937,0.9863,0.958,0.9858,0.9931,0.995,0.0295,"converged normally"
"data46",162.6871,36,116,0,0.0265,0.0032,0.9984,0.9995,57255.9608,56499.9896,-28133.9948,0.9989,0.993,0.9852,0.9545,0.9857,0.9936,0.9951,0.0209,"converged normally"
"data47",197.9198,36,116,0,0.03,0.0054,0.9979,0.9994,55649.3075,54893.3363,-27330.6681,0.9987,0.9924,0.983,0.9475,0.9836,0.9925,0.9944,0.0265,"converged normally"
"data48",136.8015,36,116,0,0.0237,0.0021,0.9987,0.9996,57972.3254,57216.3542,-28492.1771,0.9988,0.9938,0.9861,0.9566,0.9843,0.9931,0.9948,0.0253,"converged normally"
"data49",163.1478,36,116,0,0.0266,0.0023,0.9984,0.9995,55239.9302,54483.959,-27125.9795,0.9987,0.9934,0.9856,0.9559,0.9853,0.9928,0.9949,0.0264,"converged normally"
"data5",178.5507,36,116,0,0.0281,0.0038,0.9983,0.9995,58815.1998,58059.2286,-28913.6143,0.9989,0.9946,0.9881,0.9629,0.986,0.9933,0.995,0.0223,"converged normally"
"data50",205.9774,36,116,0,0.0307,0.0029,0.9979,0.9994,57827.0478,57071.0766,-28419.5383,0.9989,0.9935,0.9859,0.9534,0.9853,0.9931,0.9949,0.0198,"converged normally"
"data51",168.5576,36,116,0,0.0271,0.0056,0.9983,0.9995,57573.0051,56817.0339,-28292.5169,0.9988,0.9927,0.9846,0.9502,0.9846,0.993,0.995,0.0238,"converged normally"
"data52",149.3137,36,116,0,0.0251,0.0024,0.9986,0.9996,57767.8451,57011.8739,-28389.9369,0.9989,0.9929,0.9849,0.9518,0.9854,0.9933,0.9949,0.017,"converged normally"
"data53",203.3587,36,116,0,0.0305,0.0077,0.9978,0.9994,54909.316,54153.3448,-26960.6724,0.9987,0.9915,0.9815,0.9447,0.9843,0.9925,0.9942,0.0274,"converged normally"
"data54",153.7046,36,116,0,0.0256,0.0026,0.9985,0.9996,57603.2298,56847.2586,-28307.6293,0.9987,0.9936,0.9866,0.9578,0.9851,0.9927,0.9945,0.0204,"converged normally"
"data55",198.4791,36,116,0,0.03,0.0049,0.9979,0.9994,55843.5947,55087.6235,-27427.8117,0.9987,0.993,0.9844,0.9515,0.9831,0.9919,0.9939,0.0314,"converged normally"
"data56",220.4055,36,116,0,0.032,0.0064,0.9977,0.9993,55714.546,54958.5747,-27363.2874,0.9986,0.9935,0.9863,0.9549,0.9822,0.9915,0.9934,0.0289,"converged normally"
"data57",147.7279,36,116,0,0.0249,0.0024,0.9986,0.9996,56016.8262,55260.8549,-27514.4275,0.9988,0.9922,0.9826,0.9489,0.9856,0.9928,0.9949,0.0315,"converged normally"
"data58",152.7018,36,116,0,0.0255,0.002,0.9985,0.9996,56920.2197,56164.2485,-27966.1243,0.9987,0.9925,0.9829,0.9463,0.9839,0.9926,0.9949,0.0282,"converged normally"
"data59",189.0594,36,116,0,0.0292,0.0022,0.9981,0.9994,58420.2557,57664.2845,-28716.1422,0.9987,0.9946,0.9889,0.9617,0.9855,0.9923,0.9945,0.026,"converged normally"
"data6",199.083,36,116,0,0.0301,0.0037,0.998,0.9994,58675.1732,57919.202,-28843.601,0.9988,0.9944,0.9878,0.9595,0.9864,0.9933,0.9947,0.0226,"converged normally"
"data60",199.8686,36,116,0,0.0302,0.0051,0.998,0.9994,56125.3412,55369.37,-27568.685,0.9989,0.9933,0.9853,0.9543,0.9859,0.9933,0.9951,0.0218,"converged normally"
"data7",166.0295,36,116,0,0.0269,0.0028,0.9984,0.9995,58154.2576,57398.2864,-28583.1432,0.9989,0.9933,0.9855,0.956,0.9865,0.9936,0.9952,0.0234,"converged normally"
"data8",179.8222,36,116,0,0.0283,0.0028,0.9982,0.9995,57015.6231,56259.6519,-28013.8259,0.9988,0.9922,0.983,0.9467,0.986,0.9932,0.995,0.0226,"converged normally"
"data9",181.1547,36,116,0,0.0284,0.0048,0.9982,0.9995,56109.9204,55353.9492,-27560.9746,0.9988,0.992,0.9819,0.9401,0.9861,0.9935,0.9953,0.0232,"converged normally"
